oekobaudatProcessUuid;oekobaudatDatastockUuid;oekobaudatDatastockName;productId;tBaustoffVersion;productName;eolCategoryId;eolCategoryName;eolScenarioUnbuiltReal;eolScenarioUnbuiltPotential;technologyFactor
ab14e105-1768-4cd7-bcd2-3436c16fad16;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;249;2024-Q4;PVC-Dachbahnen - nicht rÃ¼ckbaubar (Neueinstuf.);118;PVC-Folie - verklebt oder nicht rÃ¼ckbaubar;EB;EB;0.0
e45e2b55-a8c4-4037-bc7d-e3718c4e28f3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;307;2024-Q4;StrohdÃ¤mmung;129;Strohballen;SV;SV;0.0
2812667f-8ca5-4ee1-a9ac-7ed13045b7ff;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;181;2024-Q4;Lava KÃ¶rnung;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
b3e4257b-bdb7-4da2-9c33-990243dd4aa8;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;218;2024-Q4;Natursteinplatte, weich, Fassade;108;Stein unbehandelt;CL+;CL+;1.0
86138863-3c1c-4345-9ae9-03ba28a5f9a7;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;38;2024-Q4;Brettschichtholz Nadelholz;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
ad49148a-69c3-41b5-9cbb-d93a31f1fd17;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;228;2024-Q4;Perlite 0-1;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
c241605d-34f1-44db-bf07-78610e849edb;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;217;2024-Q4;Natursteinplatte, hart, Innenboden (Dicke 0,02 m);108;Stein unbehandelt;CL+;CL+;1.0
89318772-3a50-4f56-9839-d0a8c702e396;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;290;2024-Q4;Stahl Feinblech (0,3-3,0mm), unverzinkt;127;Stahl - Stahlblech;CL+;CL+;1.0
0a1fa7f9-ad49-4942-a173-cb8c4ad99c9b;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;318;2024-Q4;Transportbeton C50/60 - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
d69a69ca-9323-4a28-81f7-ed8b457080c6;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;229;2024-Q4;Perlite 0-3;11;Bims / BlÃ¤hschÃ¼ttung;Dep+;RC+;0.75
d6f982e3-beda-49f0-a298-694fcbf3ba38;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;317;2024-Q4;Transportbeton C30/37 - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
20b0761f-99e0-48db-b1e4-0fdb1b7739ef;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;11;2024-Q4;Betonfertigteil Treppe (1,1 m Breite, 9 Stufen a 16 cm)  - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
fde18fdc-ca6b-41d3-9918-aab96177fc24;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;246;2024-Q4;PVC FuÃbodenbelag;116;PVC-Belag;EB;SV;0.75
45e6dcac-70b9-4982-bf04-4ff566facba1;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;10;2024-Q4;Betonfertigteil Decke 20cm - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
97b971c7-8d43-4650-bfd6-75fdcf9a2101;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;12;2024-Q4;Betonfertigteil Wand 12cm  - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
7091503e-34e5-44cd-9acb-7c2f16f6097f;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;263;2024-Q4;Schaumglasplatten;122;Schaumglas;Dep+;SV;0.75
45e2894f-09e7-4152-a4bd-8a13f6d5b0c3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;241;2024-Q4;Porenbeton P4 05 bewehrt;115;Porenbeton - bewehrt;Dep+;RC-;0.75
2cdcffc6-84e9-4238-b8af-beebabea9a2d;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;13;2024-Q4;Beton-Mauersteine - Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
6b363ddc-f127-4d44-9f4b-54daada07465;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;158;2024-Q4;Konstruktionsvollholz - beschichtet;7;Holz - massiv, beschichtet;RC+;CL-;1.0
f1e6c40e-3f2e-4435-9fd8-abc2dd96c38c;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;242;2024-Q4;Porenbeton P4 05 unbewehrt, Rho 472 kg/mÂ³;114;Porenbeton - unbewehrt;Dep+;RC-;0.75
8f11c179-e367-4833-93f3-10597923c79c;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;253;2024-Q4;Recycling Transportbeton C20/25 - exkl. Bewehrung;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
61c0c795-7116-407d-8635-68fe422f76a9;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;254;2024-Q4;Recycling Transportbeton C25/30 - exkl. Bewehrung;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
c5310f2b-23a1-4059-ba25-80d9b3e933f5;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;240;2024-Q4;Porenbeton P2 04 unbewehrt, Rho 380 kg/mÂ³;114;Porenbeton - unbewehrt;Dep+;RC-;0.75
3e15eb88-e824-4a81-972a-45e06930aa19;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;255;2024-Q4;Recycling Transportbeton C30/37 - exkl. Bewehrung;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
8f6daa87-b2ee-4eb0-95e0-737ac8c6a59f;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;277;2024-Q4;SchÃ¼ttung aus Polystyrolschaumstoff-Partikeln (zementgebunden);124;SchÃ¼ttung organ./min. gebunden;Dep-;Dep-;0.0
aeab0f39-5eab-422f-8c4b-822bb98aa63c;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;8;2024-Q4;Balkenschichtholz Nadelholz - beschichtet;7;Holz - massiv, beschichtet;RC+;CL-;1.0
732a4fb1-1017-4682-ac12-49a256354964;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;256;2024-Q4;Recycling Transportbeton C50/60  - exkl. Bewehrung;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
01f45a03-460d-4e55-b5c9-72d3e8eda18e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;238;2024-Q4;Porenbeton Granulat;113;Porenbeton-Granulat;Dep+;RC+;0.75
;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;288;2024-Q4;SplittschÃ¼ttung mineral. geb.;125;SchÃ¼ttung min./min. gebunden;RC-;RC-;1.0
c6f77799-ed43-4ec4-bfc3-0759e41b60ca;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;310;2024-Q4;Tragdeckschicht  Beton;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
f7646e58-4d38-4bc0-b908-e4207c9f2a89;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;313;2024-Q4;Transparente Platten PMMA, gegossen;112;KSTPlatte (zB transparente Platten);EV-;EV-;0.0
8bed6eec-b795-4585-b036-77f4344c1cf9;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;272;2024-Q4;Schnittholz Zeder ;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
e3d7a045-ee91-43ac-8fb4-a5216c65ba0b;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;315;2024-Q4;Transportbeton C20/25 - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
7a265769-b70e-4cbb-a9ac-f6af4e55f8a6;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;312;2024-Q4;Transparente Platten PMMA, extrudiert;112;KSTPlatte (zB transparente Platten);EV-;EV-;0.0
c4293a12-5023-4e57-bdcd-9b52fbfa6a58;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;46;2024-Q4;Dampfbremse PA;16;KSTBahn;EV-;EV-;0.0
2b389c60-468e-4f3e-abfa-f279262ecd5d;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;289;2024-Q4;Stabparkett;126;Holzwerkstoffboden;RC-;RC-;1.0
b2ba83d3-0427-404c-8c27-f551d0a26bd3;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;311;2024-Q4;Transparente Platten PC;112;KSTPlatte (zB transparente Platten);EV-;EV-;0.0
9f6cf0e4-7455-4c31-a99f-552926c4040e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;271;2024-Q4;Schnittholz LÃ¤rche;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
ee8691c4-00f9-4724-bb79-8043c62ce41e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;309;2024-Q4;Thermisch behandeltes Holz;130;Holz - therm. Behandelt;EV+;EV+;0.0
37a63555-2ac1-45e8-b802-6d947f30b99a;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;219;2024-Q4;Natursteinplatte, weich, Innenboden (Dicke 0,020 m);108;Stein unbehandelt;CL+;CL+;1.0
fabf4cb9-5298-442c-8a8b-f6312e39d5af;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;247;2024-Q4;PVC Plastisol;13;Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..;EB;EB;0.0
88c0f648-2316-4bbc-99b3-dbc636580088;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;18;2024-Q4;Bitumen Emulsion (40% Bitumen, 60% Wasser);13;Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..;EB;EB;0.0
c984526a-18b5-45c1-a2eb-7b95466e8426;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;21;2024-Q4;Bitumenbahnen PYE PV 200 S5 (ungeschiefert) (Polyestervlies);15;Bitubahn (ggf. mit Glasvlies);EV-;RC-;0.25
19c8f194-c3ab-4797-9b1a-8f1788bf12d8;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;205;2024-Q4;Mehrschichtparkett  (unproblem. beschichtet);105;Parkett;RC-;RC-;1.0
6ade4721-3262-4024-ab99-0265972b38bf;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;19;2024-Q4;Bitumen Kaltkleber (60% Bitumen, 23%LM, 17% Wasser);13;Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..;EB;EB;0.0
