productName,UUID,S0,S1,S2,S3,S4
Edelstahlblech,deae7522-47b9-47a8-b9a3-176db7c250ae,0.88,0.0,0.95,0.025,0.005
Kalksandstein,c916ceb3-a44d-40b7-8984-861afa589956,0.91,0.115,0.455,0.455,0.005
Sperrholzplatte,24b673e5-b737-4fe9-ab51-ca68391ccdd3,0.02,0.015,0.995,0.985,0.005
Kies 2/32,d35a5f2a-d72c-41a3-9f64-ea1b1ec066d1,1.0,0.0,0.0,0.0,0.0
Spanplatte,0f2f2410-d9e2-4e0f-837a-987cb3186d81,0.02,0.015,0.995,0.985,0.005
SchÃ¼ttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),f2552bdf-c847-4ef8-9665-c37e8ef4d44d,1.0,0.0,0.23,0.725,0.0
EPS-HartschaumdÃ¤mmung - Sz. RC als SchÃ¼tt.,121c71e8-0f4c-4529-b72e-331198d15f0f,0.97,0.02,0.425,0.24,0.005
Kalk-Innenputz,eea7e352-bf1d-4e6d-9029-689d7936e6a7,0.885,0.28,0.605,0.605,0.14
Expandierter Kork,fdbe82c6-7073-4f8c-a540-c37a6bf16cd6,0.965,0.005,0.38,0.415,0.03
Phenolharz Hartschaum,4da47295-f607-4254-ab06-6925e3d5fc07,0.645,0.04,0.26,0.35,0.3
Fassadenfarbe Voranstrich Dispersion,849af6c4-050a-4119-9bb4-9dd64a7a86fc,0.965,0.15,0.46,0.405,0.015
"Hochlochziegel organisch gefÃ¼llt, ohne MÃ¶rtel / Kleb.",b822aa09-3cb6-49a3-98f6-a3ebf325a70b,0.99,0.0,0.74,0.855,0.02
Fassadenfarbe Silikonharzfarbe,b974b2f9-967e-4356-80ae-d7feeb4f0d46,0.965,0.15,0.46,0.405,0.015
HolzfaserdÃ¤mmplatte (Nassverfahren),c91aa879-2826-4078-8bfa-baae349549cb,0.84,0.375,0.58,0.91,0.015
Fassadenfarbe Silikat-Dispersionsfarbe,20043853-b153-484a-80c4-dd1bf1cb76e3,0.965,0.15,0.46,0.405,0.015
Holzwolle-Leichtbauplatte,ac8de42f-3cff-4ca8-b8cc-c0db6daf089b,0.99,0.005,0.07,0.885,0.005
Fassadenfarbe Dispersionsfarbe,8c5e949d-1b5e-4dc6-b6ae-bfc8e6c863ce,0.965,0.15,0.46,0.405,0.015
